Year of End Time (Adj),Month of End Time (Adj),In Library,Minutes Listened
2020,December,1,970.620866667
2020,November,1,2438.2962
2020,October,1,2562.537633333
2020,September,1,1784.70395
2020,December,0,1469.079666667
2020,November,0,984.694616667
2020,October,0,1302.80615
2020,September,0,956.195316667
2021,September,1,1063.417966667
2021,August,1,2709.542416667
2021,July,1,3502.264100000
2021,June,1,3896.1051
2021,May,1,2507.71265
2021,April,1,3464.209150000
2021,March,1,4298.384383333
2021,February,1,2688.8778
2021,January,1,1260.31505
2021,September,0,179.927983333
2021,August,0,1331.268466667
2021,July,0,1782.258683333
2021,June,0,1374.519483333
2021,May,0,601.670283333
2021,April,0,894.86175
2021,March,0,1361.058716667
2021,February,0,1576.816416667
2021,January,0,996.79695
