genres,count
acoustic,182
acoustic pop,42
adult standards,59
afro dancehall,50
afrofuturism,140
afropop,39
alabama indie,230
album rock,14
alt z,422
alternative country,4
alternative dance,204
alternative emo,4
alternative hip hop,49
alternative pop rock,4
alternative r&b,992
alternative rock,315
ambient folk,459
anime score,27
anti-folk,32
art pop,"1,759"
art rock,131
atl hip hop,1
aussietronica,15
austin americana,38
austindie,56
australian hip hop,15
australian indie,294
australian indie folk,20
australian pop,16
azonto,39
baroque pop,392
beatlesque,33
bedroom pop,118
bedroom soul,4
blues rock,27
boston indie,9
boston rock,81
boy band,2
brighton indie,48
brill building pop,68
brisbane indie,15
british folk,5
british indie rock,5
british invasion,48
british singer-songwriter,49
british soul,135
brooklyn indie,130
bubblegrunge,456
bubblegum pop,5
cali rap,23
canadian americana,14
canadian contemporary r&b,26
canadian electropop,32
canadian folk,2
canadian hip hop,66
canadian indie,50
canadian pop,173
candy pop,15
chamber folk,5
chamber pop,100
chicago indie,54
chicago rap,188
chill r&b,4
chillwave,157
classic rock,371
classic uk pop,3
colombian indie,13
complextro,4
compositional ambient,27
conscious hip hop,83
contemporary country,62
contemporary jazz,48
country,27
country dawn,65
country pop,21
country road,24
country rock,51
dance pop,"1,023"
dance rock,71
dance-punk,69
dancehall,11
deep euro house,43
deep new americana,74
deep tropical house,12
derry indie,3
detroit hip hop,10
dmv rap,4
double drumming,406
downtempo,32
dream pop,61
dreamo,21
east coast hip hop,64
eau claire indie,45
edm,169
electro house,4
electronic rock,69
electronica,99
electronicore,7
electropop,"1,223"
electropowerpop,8
emo,13
emo rap,4
english indie rock,1
escape room,295
etherpop,51
europop,3
experimental pop,1
experimental r&b,86
folk,303
folk punk,4
folk rock,294
folk-pop,369
fort worth indie,2
freak folk,349
funk,54
future bass,6
gangster rap,51
garage psych,2
garage rock,259
gauze pop,106
german techno,4
girl group,4
golden age hip hop,48
gothenburg indie,32
hardcore hip hop,48
hawaiian indie,7
hip hop,573
hollywood,5
hopebeat,3
hyperpop,99
idaho indie,14
indie anthem-folk,112
indie cafe pop,108
indie electropop,155
indie folk,"1,684"
indie garage rock,94
indie jazz,63
indie pop,"4,342"
indie poptimism,"1,123"
indie punk,11
indie r&b,80
indie rock,"2,623"
indie soul,743
indie surf,17
indiecoustica,35
indietronica,361
irish pop,9
irish rock,59
irish singer-songwriter,136
jacksonville indie,8
jam band,1
japanese classical,27
japanese contemporary classical,27
japanese soundtrack,27
jazz,48
jazz rap,48
jazz saxophone,48
kc indie,26
la indie,493
la pop,119
latintronica,13
leicester indie,1
lgbtq+ hip hop,333
lilith,37
lo-fi,1
louisville indie,52
melancholia,255
melbourne indie,279
mellow gold,158
merseybeat,33
metropopolis,559
miami hip hop,16
minneapolis indie,74
minnesota hip hop,4
modern alternative pop,40
modern alternative rock,571
modern blues,27
modern blues rock,52
modern country rock,24
modern dream pop,34
modern folk rock,15
modern indie pop,1
modern power pop,14
modern rock,"2,009"
motown,11
nashville singer-songwriter,21
neo mellow,122
neo soul,423
neon pop punk,48
new americana,346
new french touch,41
new jersey indie,20
new jersey rap,10
new rave,143
nigerian hip hop,50
nigerian pop,50
noise pop,1
north carolina hip hop,14
north carolina indie,28
north carolina roots,28
northern irish indie,13
norwegian indie,5
nu disco,38
nu gaze,46
ny roots,2
nyc pop,239
nz pop,350
omaha indie,1
ontario indie,24
orlando indie,11
permanent wave,388
philly indie,5
philly rap,7
piano rock,86
pittsburgh rap,3
pixie,3
pop,"3,895"
pop dance,71
pop edm,1
pop emo,36
pop folk,82
pop punk,82
pop rap,173
pop rock,"1,316"
pop soul,125
portland indie,123
post-grunge,19
post-teen pop,"1,193"
progressive bluegrass,28
progressive jazz fusion,1
progressive post-hardcore,1
protopunk,131
psychedelic rock,223
psychedelic soul,35
punk blues,27
quebec indie,4
queens hip hop,48
quiet storm,1
r&b,143
rap,390
reading indie,1
rhode island rap,1
rock,882
roots rock,77
scandipop,18
screamo,7
seattle indie,14
sheffield indie,222
shimmer pop,133
shiver pop,126
shoegaze,21
singer-songwriter,178
slc indie,55
slowcore,67
small room,314
socal indie,4
social media pop,15
soft rock,134
solo wave,13
soul,49
soul blues,26
southern hip hop,45
stomp and flutter,18
stomp and holler,"1,142"
stomp pop,3
sunshine pop,54
swedish electropop,33
swedish indie folk,17
swedish indie pop,2
swedish pop,3
swedish singer-songwriter,2
swedish synthpop,30
talent show,13
tempe indie,10
texas country,38
texas pop punk,8
toronto indie,21
toronto rap,66
trap,61
trap queen,4
trip hop,116
tropical house,242
uk alternative pop,547
uk americana,2
uk contemporary r&b,217
uk pop,263
underground hip hop,37
urban contemporary,8
vancouver indie,50
vapor pop,34
vapor soul,482
vapor twitch,118
vermont indie,61
viral pop,2
virginia hip hop,10
vocal jazz,10
washington indie,122
welsh rock,3
york indie,2
